Date,Close,% Change,% Change vs Average,Volume
2022-07-31T18:30:00.000Z,"17,340.05",1.06,1.03,"381,500"
2022-08-01T18:30:00.000Z,"17,345.45",0.03,0.01,"333,600"
2022-08-02T18:30:00.000Z,"17,388.15",0.25,0.22,"285,400"
2022-08-03T18:30:00.000Z,"17,382.00",-0.04,-0.06,"325,000"
2022-08-04T18:30:00.000Z,"17,397.50",0.09,0.06,"355,300"
2022-08-07T18:30:00.000Z,"17,525.10",0.73,0.71,"257,000"
2022-08-09T18:30:00.000Z,"17,534.75",0.06,0.03,"312,700"
2022-08-10T18:30:00.000Z,"17,659.00",0.71,0.68,"311,200"
2022-08-11T18:30:00.000Z,"17,698.15",0.22,0.2,"303,900"
2022-08-15T18:30:00.000Z,"17,825.25",0.72,0.69,0
2022-08-16T18:30:00.000Z,"17,944.25",0.67,0.64,"262,800"
2022-08-17T18:30:00.000Z,"17,956.50",0.07,0.04,"263,900"
2022-08-18T18:30:00.000Z,"17,758.45",-1.1,-1.13,"295,600"
2022-08-21T18:30:00.000Z,"17,490.70",-1.51,-1.53,"287,600"
2022-08-22T18:30:00.000Z,"17,577.50",0.5,0.47,"285,600"
2022-08-23T18:30:00.000Z,"17,604.95",0.16,0.13,"262,000"
2022-08-24T18:30:00.000Z,"17,522.45",-0.47,-0.49,"230,200"
2022-08-25T18:30:00.000Z,"17,558.90",0.21,0.18,"266,600"
2022-08-28T18:30:00.000Z,"17,312.90",-1.4,-1.43,"244,900"
2022-08-29T18:30:00.000Z,"17,759.30",2.58,2.55,"324,700"
2022-08-31T18:30:00.000Z,"17,542.80",-1.22,-1.24,"308,500"
2022-09-01T18:30:00.000Z,"17,539.45",-0.02,-0.04,"256,300"
2022-09-04T18:30:00.000Z,"17,665.80",0.72,0.7,"230,300"
2022-09-05T18:30:00.000Z,"17,655.60",-0.06,-0.08,"251,200"
2022-09-06T18:30:00.000Z,"17,624.40",-0.18,-0.2,"354,100"
2022-09-07T18:30:00.000Z,"17,798.75",0.99,0.96,"279,800"
2022-09-08T18:30:00.000Z,"17,833.35",0.19,0.17,"270,300"
2022-09-11T18:30:00.000Z,"17,936.35",0.58,0.55,"228,200"
2022-09-12T18:30:00.000Z,"18,070.05",0.75,0.72,"259,900"
2022-09-13T18:30:00.000Z,"18,003.75",-0.37,-0.39,"365,900"
2022-09-14T18:30:00.000Z,"17,877.40",-0.7,-0.73,"289,600"
2022-09-15T18:30:00.000Z,"17,530.85",-1.94,-1.96,"468,500"
2022-09-18T18:30:00.000Z,"17,622.25",0.52,0.5,"258,300"
2022-09-19T18:30:00.000Z,"17,816.25",1.1,1.08,"263,100"
2022-09-20T18:30:00.000Z,"17,718.35",-0.55,-0.57,"245,500"
2022-09-21T18:30:00.000Z,"17,629.80",-0.5,-0.52,"284,100"
2022-09-22T18:30:00.000Z,"17,327.35",-1.72,-1.74,"390,800"
2022-09-25T18:30:00.000Z,"17,016.30",-1.8,-1.82,"492,000"
2022-09-26T18:30:00.000Z,"17,007.40",-0.05,-0.08,"359,900"
2022-09-27T18:30:00.000Z,"16,858.60",-0.87,-0.9,"323,900"
2022-09-28T18:30:00.000Z,"16,818.10",-0.24,-0.27,"340,000"
2022-09-29T18:30:00.000Z,"17,094.35",1.64,1.62,"376,100"
2022-10-02T18:30:00.000Z,"16,887.35",-1.21,-1.24,"278,400"
2022-10-03T18:30:00.000Z,"17,274.30",2.29,2.27,"226,000"
2022-10-05T18:30:00.000Z,"17,331.80",0.33,0.31,"265,500"
2022-10-06T18:30:00.000Z,"17,314.65",-0.1,-0.12,"216,300"
2022-10-09T18:30:00.000Z,"17,241.00",-0.43,-0.45,"234,000"
